店名,住所,電話番号,ウェブサイト,メールアドレス,評価,特徴,件名,本文,ステータス
L'Ecritoire Paris,"26 Pass. Molière, 75003 Paris",,https://www.lecritoireparis.com/,,4.8,ノート・ペン・封蝋など高評価の文具店,,,要確認(send_log.csv参照)
Papier Tigre,"5 Rue des Filles du Calvaire, 75003 Paris",+33 1 48 04 00 21,http://www.papiertigre.fr/,,4.6,仏ブランドのノートメーカー(競合寄り),,,未送信
Papeterie du Dôme,"108 Bd du Montparnasse, 75014 Paris",+33 1 43 35 25 74,https://www.papeteriedudome.fr/,,4.4,ペン・アジェンダ中心の老舗文具店,,,未送信
Rougier & Plé (Filles du Calvaire),"15 Bd des Filles du Calvaire, 75003 Paris",+33 1 44 54 81 00,https://www.rougier-ple.fr/,,4.2,大型画材・文具チェーン,,,未送信
Rougier & Plé (Saint-Germain),"108 Bd Saint-Germain, 75006 Paris",+33 1 56 81 18 35,https://www.rougier-ple.fr/,,4.3,大型画材・文具チェーン,,,未送信
Rougier & Plé (Italie 2),"30 Av. d'Italie, 75013 Paris",+33 1 40 01 15 72,https://www.rougier-ple.fr/,,3.7,大型画材・文具チェーン,,,未送信
Rougier & Plé (Lecourbe),"157 Rue Lecourbe, 75015 Paris",+33 1 42 50 45 49,https://www.rougier-ple.fr/,,4.2,大型画材・文具チェーン,,,未送信
Le Carré d'Encre,"13bis Rue des Mathurins, 75009 Paris",+33 1 42 93 86 84,http://www.lecarredencre.fr/,,4.6,高級筆記具・カリグラフィー用品専門,,,未送信
Les P'tits Papiers Paris,"15 Rue Soufflot, 75005 Paris",+33 1 56 81 02 41,https://www.lesptitspapiers.com/,,4.8,ノート・カード中心のギフト系文具店,,,未送信
Papeterie Montparnasse,"41 Rue du Montparnasse, 75014 Paris",+33 1 40 47 57 12,http://www.papeteriemontparnasse.fr/,,4.7,独立系ペーパー・ペン専門店,,,未送信
Papeterie du textile,"61-63 Rue Réaumur, 75002 Paris",+33 1 42 36 37 52,,,4.7,業務用も扱う総合文具店,,,未送信
Junku,"18 Rue des Pyramides, 75001 Paris",+33 1 42 60 89 12,https://sites.google.com/junku.fr/librairiejunkuparis/accueil,,4.7,日本書店だが文具・書道用品も充実,,,未送信
Mark's Style Tokyo,"6 Rue du Trésor, 75004 Paris",+33 1 43 56 81 46,https://markstyletokyo.fr/,,4.6,日本ブランドMark'sの直営に近い店,,,未送信
Ijii Papeterie,"25 Rue Faidherbe, 75011 Paris",+33 1 40 56 92 56,https://ijiipapeterie.com/,,4.3,日本ブランド専門・Traveler's Company取扱店,,,未送信
MiSAKi iiNUMA,"82 rue Quincampoix, 75003 Paris",+33 1 73 75 45 96,https://www.misakiiinuma.com/,,5.0,和紙・手漉き紙専門,,,未送信
Adeline KLAM,"54 Bd Richard-Lenoir, 75011 Paris",+33 1 48 07 20 88,https://adelineklam.com/,,4.8,和紙・折り紙専門(日本製品との親和性高),,,未送信
Papeterie de l'École Militaire,"41 Av. de la Motte-Picquet, 75007 Paris",+33 1 45 51 24 98,http://www.parispapeterie.com/,,4.6,万年筆・インク中心の専門文具店,,フォームのみ,未送信
Grim'art,"59-61 Rue Saint-André des Arts, 75006 Paris",+33 1 46 33 19 88,https://www.grimartparis.com/,,4.2,革製手帳・ノート専門の職人系文具店,,,未送信
Petit Gramme Paris,"22 Rue Milton, 75009 Paris",+33 9 88 30 72 28,https://petitgramme.fr/,,4.9,イラスト系カード・ノートのデザイナーズ文具店,,フォームのみ,未送信
